Unnamed: 0,ID,Culture,Category,output,pred,cleaned_output
0,5865940244277525097_0,Urdu,Objects / materials / clothing,Indonesian,0,indonesian
1,5865939274273557337_0,Indonesian,People and everyday life,Javanese,0,javanese
2,5865925464274557101_0,Filipino,Brands / products / companies,Filipino,1,filipino
3,5865925454276387983_1,Filipino,Public Figure and pop culture,Filipino,1,filipino
4,5900080789939789276_2,Minangkabau,Geography / buildings / landmarks,Javanese,0,javanese
5,5865752684276131937_1,Malay,Traditions / art / history,Indonesian,0,indonesian
6,5865687724279174757_0,Bengali,Traditions / art / history,Indian,0,unanswered
7,5865939214275572120_2,Sundanese,Geography / buildings / landmarks,Javanese,0,javanese
8,5865925454274852627_2,Filipino,Traditions / art / history,Indonesian,0,indonesian
9,5920942834275752109_1,Telugu,Geography / buildings / landmarks,The image best represents the culture of the Bengali people.,0,bengali
10,5865910684277574728_1,Chinese,Traditions / art / history,Chinese,1,chinese
11,5865910694274547465_0,Chinese,Cooking and food,Indonesian,0,indonesian
12,5920593834277229335_1,Tamil,Vehicles and Transportation,Indonesian,0,indonesian
13,5865743574276100449_0,Korean,Objects / materials / clothing,"The image best represents the culture of the Minangkabau people, who are known for their masks and theatrical performances. The mask",0,minangkabau
14,5920943054279341125_0,Urdu,Traditions / art / history,Tamil,0,tamil
15,5865939274276677956_1,Indonesian,Traditions / art / history,Indonesian,1,indonesian
16,5865939214276959702_0,Sundanese,Vehicles and Transportation,Indonesian,0,indonesian
17,5865910674271780257_0,Chinese,Traditions / art / history,Chinese,1,chinese
18,5865939264275894772_2,Indonesian,Plants and animal,Indonesian,1,indonesian
19,5865687724277949693_1,Bengali,Cooking and food,Sundanese,0,sundanese
20,5865941054272650906_1,Chinese,Sports and recreation,The image best represents the culture of the Chinese people.,1,chinese
21,5865939234276171441_0,Javanese,Cooking and food,Indonesian,0,indonesian
22,5920593844272192690_0,Tamil,Geography / buildings / landmarks,Indian,0,unanswered
23,5865939284278252840_0,Indonesian,Plants and animal,Indonesian,1,indonesian
24,5865939224277029460_2,Sundanese,Public Figure and pop culture,Javanese,0,javanese
25,6001318655413963321_0,Hindi,Traditions / art / history,"The image best represents the Javanese culture. The man is wearing a traditional Javanese costume, which includes a mask and a he",0,javanese
26,5920593854273729336_1,Tamil,Plants and animal,"The image best represents the culture of the lion, which is a symbol of strength, courage, and power in many Asian cultures. The l",0,unanswered
27,5920593834274802146_1,Tamil,Cooking and food,Indonesian,0,indonesian
28,5865925464273404045_1,Filipino,Cooking and food,Indonesian,0,indonesian
29,5900314529933893395_0,Minangkabau,Sports and recreation,"The image best represents the culture of the Minangkabau people, who are native to the Indonesian island of Sumatra. The black and",0,indonesian
30,5899637162747929954_0,Minangkabau,Cooking and food,Indonesian,0,indonesian
31,5922674405414385929_1,Sinhala,Geography / buildings / landmarks,Javanese,0,javanese
32,5865939244277608669_2,Sundanese,Traditions / art / history,Indonesian,0,indonesian
33,5865939234271218297_0,Javanese,Traditions / art / history,Indonesian,0,indonesian
34,5865687714273121081_0,Bengali,Traditions / art / history,"The image best represents the culture of the Minangkabau people, who are known for their colorful and elaborate traditional costumes. The two",0,minangkabau
35,5865939214277990781_0,Sundanese,Cooking and food,Indonesian,0,indonesian
36,5865743584278291477_1,Korean,Cooking and food,Chinese,0,chinese
37,5920593584272611294_1,Hindi,People and everyday life,"The image best represents the culture of the Hindu religion. The statue of a deity, possibly Lord Ganesha, is a common symbol of",0,unanswered
38,5920593724272960606_2,Marathi,Geography / buildings / landmarks,"The image best represents the culture of the Minangkabau people, who are known for their unique architectural style and the use of stone in",0,minangkabau
39,6028345774275936078_1,Marathi,Vehicles and Transportation,"The image best represents the culture of the Indian subcontinent, specifically the Indian state of Maharashtra. The cars are white and have",0,unanswered
