Unnamed: 0,ID,Culture,Category,output,pred,cleaned_output
0,5865940244277525097_0,Urdu,Objects / materials / clothing,Urdu,1,urdu
1,5865939274273557337_0,Indonesian,People and everyday life,Indonesian,1,indonesian
2,5865925464274557101_0,Filipino,Brands / products / companies,Filipino,1,filipino
3,5865925454276387983_1,Filipino,Public Figure and pop culture,Filipino,1,filipino
4,5900080789939789276_2,Minangkabau,Geography / buildings / landmarks,Indonesian,0,indonesian
5,5865752684276131937_1,Malay,Traditions / art / history,Javanese,0,javanese
6,5865687724279174757_0,Bengali,Traditions / art / history,Hindi,0,hindi
7,5865939214275572120_2,Sundanese,Geography / buildings / landmarks,Indonesian,0,indonesian
8,5865925454274852627_2,Filipino,Traditions / art / history,Filipino,1,filipino
9,5920942834275752109_1,Telugu,Geography / buildings / landmarks,Chinese,0,chinese
10,5865910684277574728_1,Chinese,Traditions / art / history,Chinese,1,chinese
11,5865910694274547465_0,Chinese,Cooking and food,Chinese,1,chinese
12,5920593834277229335_1,Tamil,Vehicles and Transportation,Urdu,0,urdu
13,5865743574276100449_0,Korean,Objects / materials / clothing,Japanese,0,japanese
14,5920943054279341125_0,Urdu,Traditions / art / history,Hindi,0,hindi
15,5865939274276677956_1,Indonesian,Traditions / art / history,Vietnamese,0,unanswered
16,5865939214276959702_0,Sundanese,Vehicles and Transportation,Indonesian,0,indonesian
17,5865910674271780257_0,Chinese,Traditions / art / history,Chinese,1,chinese
18,5865939264275894772_2,Indonesian,Plants and animal,Malay,0,malay
19,5865687724277949693_1,Bengali,Cooking and food,Filipino,0,filipino
20,5865941054272650906_1,Chinese,Sports and recreation,Chinese,1,chinese
21,5865939234276171441_0,Javanese,Cooking and food,Indonesian,0,indonesian
22,5920593844272192690_0,Tamil,Geography / buildings / landmarks,Marathi,0,marathi
23,5865939284278252840_0,Indonesian,Plants and animal,Filipino,0,filipino
24,5865939224277029460_2,Sundanese,Public Figure and pop culture,Indonesian,0,indonesian
25,6001318655413963321_0,Hindi,Traditions / art / history,Mongolian,0,mongolian
26,5920593854273729336_1,Tamil,Plants and animal,Bengali,0,bengali
27,5920593834274802146_1,Tamil,Cooking and food,Bengali,0,bengali
28,5865925464273404045_1,Filipino,Cooking and food,Japanese,0,japanese
29,5900314529933893395_0,Minangkabau,Sports and recreation,Mongolian,0,mongolian
30,5899637162747929954_0,Minangkabau,Cooking and food,Filipino,0,filipino
31,5922674405414385929_1,Sinhala,Geography / buildings / landmarks,Sinhala,1,sinhala
32,5865939244277608669_2,Sundanese,Traditions / art / history,Sundanese,1,sundanese
33,5865939234271218297_0,Javanese,Traditions / art / history,Javanese,1,javanese
34,5865687714273121081_0,Bengali,Traditions / art / history,Javanese,0,javanese
35,5865939214277990781_0,Sundanese,Cooking and food,Chinese,0,chinese
36,5865743584278291477_1,Korean,Cooking and food,Korean,1,korean
37,5920593584272611294_1,Hindi,People and everyday life,Hindi,1,hindi
38,5920593724272960606_2,Marathi,Geography / buildings / landmarks,Tamil,0,tamil
39,6028345774275936078_1,Marathi,Vehicles and Transportation,Tamil,0,tamil
40,6028345774278132291_0,Marathi,Vehicles and Transportation,Bengali,0,bengali
41,5865941064272007574_0,Chinese,Traditions / art / history,Chinese,1,chinese
42,5865939264279654596_0,Indonesian,Cooking and food,Indonesian,1,indonesian
43,5865752674272028206_2,Malay,Objects / materials / clothing,Javanese,0,javanese
44,5865910684273870573_0,Chinese,Geography / buildings / landmarks,Mongolian,0,mongolian
45,5919991124277882622_0,Japanese,Public Figure and pop culture,Japanese,1,japanese
46,5865941064273672815_1,Chinese,Cooking and food,Chinese,1,chinese
47,5922904395411843468_0,Sinhala,Public Figure and pop culture,Sinhala,1,sinhala
48,5920942824275081553_0,Telugu,Public Figure and pop culture,Bengali,0,bengali
49,5865910674271963373_1,Chinese,Traditions / art / history,Japanese,0,japanese
50,5920593594277937361_0,Hindi,Brands / products / companies,Hindi,1,hindi
51,5865752674277395893_0,Malay,Brands / products / companies,Japanese,0,japanese
52,5865743574276256813_0,Korean,Objects / materials / clothing,Korean,1,korean
53,5865752684277108326_1,Malay,Public Figure and pop culture,Chinese,0,chinese
54,5865910684279354664_0,Chinese,Plants and animal,Javanese,0,javanese
55,5865752664274152335_1,Malay,Public Figure and pop culture,Filipino,0,filipino
56,5920942814278847085_0,Telugu,Geography / buildings / landmarks,Tamil,0,tamil
57,5925123929413616700_0,Japanese,Plants and animal,Japanese,1,japanese
58,5922549945419003057_2,Sinhala,Vehicles and Transportation,Bengali,0,bengali
59,5865910674272544738_0,Chinese,Public Figure and pop culture,Chinese,1,chinese
60,5865743574276740627_0,Korean,Plants and animal,Japanese,0,japanese
61,5865939274278111903_1,Indonesian,Geography / buildings / landmarks,Indonesian,1,indonesian
62,5920593724275649384_1,Marathi,Cooking and food,Bengali,0,bengali
63,5865752674277273720_0,Malay,Brands / products / companies,Japanese,0,japanese
64,5920593584278486651_0,Hindi,Geography / buildings / landmarks,Javanese,0,javanese
65,5865925444278427274_1,Filipino,People and everyday life,Filipino,1,filipino
66,5922894655416814546_0,Sinhala,People and everyday life,Bengali,0,bengali
67,5865743594272336353_0,Korean,Public Figure and pop culture,Korean,1,korean
68,5920942834274236397_0,Telugu,Cooking and food,Bengali,0,bengali
69,5920942824275595448_0,Telugu,Traditions / art / history,Bengali,0,bengali
70,5919991134277879087_2,Japanese,Sports and recreation,Japanese,1,japanese
71,5865743574274692594_2,Korean,People and everyday life,Korean,1,korean
72,5865939244277687334_1,Indonesian,Objects / materials / clothing,Indonesian,1,indonesian
73,5920593834271404586_1,Tamil,Vehicles and Transportation,Japanese,0,japanese
74,5920593834271666248_1,Tamil,Geography / buildings / landmarks,Tamil,1,tamil
75,5920593844273553189_0,Tamil,Geography / buildings / landmarks,Tamil,1,tamil
76,5865941054279039833_0,Chinese,Vehicles and Transportation,Chinese,1,chinese
77,5865784474279317888_2,Mongolian,Public Figure and pop culture,Korean,0,korean
78,5865925444272688564_2,Filipino,Vehicles and Transportation,Indonesian,0,indonesian
79,5920593844271819813_1,Tamil,People and everyday life,Hindi,0,hindi
80,5865939244279272137_1,Javanese,Cooking and food,Bengali,0,bengali
81,5920942834273632503_1,Telugu,Traditions / art / history,Marathi,0,marathi
82,5865784464276584661_1,Mongolian,Vehicles and Transportation,Mongolian,1,mongolian
83,5920593724273800208_1,Marathi,Traditions / art / history,Tamil,0,tamil
84,5865939244275395614_1,Indonesian,Traditions / art / history,Javanese,0,javanese
85,5865939224277259135_1,Javanese,Public Figure and pop culture,Korean,0,korean
86,5865752664276269296_1,Malay,Sports and recreation,Javanese,0,javanese
87,5865940254277052886_1,Urdu,People and everyday life,Urdu,1,urdu
88,5865743584278842085_0,Korean,People and everyday life,Korean,1,korean
89,5865939274274934803_2,Indonesian,Cooking and food,Malay,0,malay
90,5920593844274177246_0,Tamil,Public Figure and pop culture,Bengali,0,bengali
91,5865784474272091109_1,Mongolian,Brands / products / companies,Chinese,0,chinese
