,ID,Culture,Category,output
0,5865940244277525097_0,"('Urdu', 'Pakistan')",Objects / materials / clothing,Urdu
1,5865939274273557337_0,"('Indonesian', 'Indonesia')",People and everyday life,Indonesian
2,5865925464274557101_0,"('Filipino', 'Philippines')",Brands / products / companies,Filipino
3,5865925454276387983_1,"('Filipino', 'Philippines')",Public Figure and pop culture,Filipino
4,5900080789939789276_2,"('Minangkabau', 'Indonesia')",Geography / buildings / landmarks,Indonesian
5,5865752684276131937_1,"('Malay', 'Malaysia')",Traditions / art / history,Javanese
6,5865687724279174757_0,"('Bengali', 'India')",Traditions / art / history,Hindi
7,5865939214275572120_2,"('Sundanese', 'Indonesia')",Geography / buildings / landmarks,Indonesian
8,5865925454274852627_2,"('Filipino', 'Philippines')",Traditions / art / history,Filipino
9,5920942834275752109_1,"('Telugu', 'India')",Geography / buildings / landmarks,Chinese
10,5865910684277574728_1,"('Chinese', 'China')",Traditions / art / history,Chinese
11,5865910694274547465_0,"('Chinese', 'China')",Cooking and food,Chinese
12,5920593834277229335_1,"('Tamil', 'India')",Vehicles and Transportation,Urdu
13,5865743574276100449_0,"('Korean', 'South Korea')",Objects / materials / clothing,Japanese
14,5920943054279341125_0,"('Urdu', 'India')",Traditions / art / history,Hindi
15,5865939274276677956_1,"('Indonesian', 'Indonesia')",Traditions / art / history,Vietnamese
16,5865939214276959702_0,"('Sundanese', 'Indonesia')",Vehicles and Transportation,Indonesian
17,5865910674271780257_0,"('Chinese', 'China')",Traditions / art / history,Chinese
18,5865939264275894772_2,"('Indonesian', 'Indonesia')",Plants and animal,Malay
19,5865687724277949693_1,"('Bengali', 'India')",Cooking and food,Filipino
20,5865941054272650906_1,"('Chinese', 'Singapore')",Sports and recreation,Chinese
21,5865939234276171441_0,"('Javanese', 'Indonesia')",Cooking and food,Indonesian
22,5920593844272192690_0,"('Tamil', 'India')",Geography / buildings / landmarks,Marathi
23,5865939284278252840_0,"('Indonesian', 'Indonesia')",Plants and animal,Filipino
24,5865939224277029460_2,"('Sundanese', 'Indonesia')",Public Figure and pop culture,Indonesian
25,6001318655413963321_0,"('Hindi', 'India')",Traditions / art / history,Mongolian
26,5920593854273729336_1,"('Tamil', 'India')",Plants and animal,Bengali
27,5920593834274802146_1,"('Tamil', 'India')",Cooking and food,Bengali
28,5865925464273404045_1,"('Filipino', 'Philippines')",Cooking and food,Japanese
29,5900314529933893395_0,"('Minangkabau', 'Indonesia')",Sports and recreation,Mongolian
30,5899637162747929954_0,"('Minangkabau', 'Indonesia')",Cooking and food,Filipino
31,5922674405414385929_1,"('Sinhala', 'Sri_Lanka')",Geography / buildings / landmarks,Sinhala
32,5865939244277608669_2,"('Sundanese', 'Indonesia')",Traditions / art / history,Sundanese
33,5865939234271218297_0,"('Javanese', 'Indonesia')",Traditions / art / history,Javanese
34,5865687714273121081_0,"('Bengali', 'India')",Traditions / art / history,Javanese
35,5865939214277990781_0,"('Sundanese', 'Indonesia')",Cooking and food,Chinese
36,5865743584278291477_1,"('Korean', 'South Korea')",Cooking and food,Korean
37,5920593584272611294_1,"('Hindi', 'India')",People and everyday life,Hindi
38,5920593724272960606_2,"('Marathi', 'India')",Geography / buildings / landmarks,Tamil
39,6028345774275936078_1,"('Marathi', 'India')",Vehicles and Transportation,Tamil
40,6028345774278132291_0,"('Marathi', 'India')",Vehicles and Transportation,Bengali
41,5865941064272007574_0,"('Chinese', 'Singapore')",Traditions / art / history,Chinese
42,5865939264279654596_0,"('Indonesian', 'Indonesia')",Cooking and food,Indonesian
43,5865752674272028206_2,"('Malay', 'Malaysia')",Objects / materials / clothing,Javanese
44,5865910684273870573_0,"('Chinese', 'China')",Geography / buildings / landmarks,Mongolian
45,5919991124277882622_0,"('Japanese', 'Japan')",Public Figure and pop culture,Japanese
