,ID,Culture,Category,output
0,5865940244277525097_0,"('Urdu', 'Pakistan')",Objects / materials / clothing,The image best represents the Bengali culture.
1,5865939274273557337_0,"('Indonesian', 'Indonesia')",People and everyday life,"The image depicts a group of students in uniform attire, likely representing a school or educational institution with a specific dress code or policy."
2,5865925464274557101_0,"('Filipino', 'Philippines')",Brands / products / companies," a meatball past sw brown paper chicken sandwiches. coated with decorated with coated with with, with a in cre everything corn dog. waff."
3,5865925454276387983_1,"('Filipino', 'Philippines')",Public Figure and pop culture,The image best represents the Filipino culture.
4,5900080789939789276_2,"('Minangkabau', 'Indonesia')",Geography / buildings / landmarks,The image best represents the Bandar Udara Airport.
5,5865752684276131937_1,"('Malay', 'Malaysia')",Traditions / art / history,"- Marathi
- Sinh
- Marathi
- Sinh
- Marathi
- Sinh
- Marathi
- S"
6,5865687724279174757_0,"('Bengali', 'India')",Traditions / art / history,"- Javanese
- Javanese
- Javanese
- Javanese
- Javanese
- Javanese
"
7,5865939214275572120_2,"('Sundanese', 'Indonesia')",Geography / buildings / landmarks,The image best represents **Indonesian**.
8,5865925454274852627_2,"('Filipino', 'Philippines')",Traditions / art / history,The image best represents **Asian** culture.
9,5920942834275752109_1,"('Telugu', 'India')",Geography / buildings / landmarks,"The image depicts
- S.
- S.
- S.
- S.
- S.
- S.
- S.
- S.
- S"
10,5865910684277574728_1,"('Chinese', 'China')",Traditions / art / history,Chinese
11,5865910694274547465_0,"('Chinese', 'China')",Cooking and food,Bengali
12,5920593834277229335_1,"('Tamil', 'India')",Vehicles and Transportation,The image best represents the culture of an **Bengali**.
13,5865743574276100449_0,"('Korean', 'South Korea')",Objects / materials / clothing,Japanese
14,5920943054279341125_0,"('Urdu', 'India')",Traditions / art / history,"The image best represents ""Bengali."""
15,5865939274276677956_1,"('Indonesian', 'Indonesia')",Traditions / art / history,"The image best represents ""Filipino""."
16,5865939214276959702_0,"('Sundanese', 'Indonesia')",Vehicles and Transportation,Japanese
17,5865910674271780257_0,"('Chinese', 'China')",Traditions / art / history,The image best represents Chinese culture.
18,5865939264275894772_2,"('Indonesian', 'Indonesia')",Plants and animal,Japanese
19,5865687724277949693_1,"('Bengali', 'India')",Cooking and food,Japanese
20,5865941054272650906_1,"('Chinese', 'Singapore')",Sports and recreation,"The image best represents ""Japanese"" culture."
21,5865939234276171441_0,"('Javanese', 'Indonesia')",Cooking and food,"The image best represents ""Bengali."
22,5920593844272192690_0,"('Tamil', 'India')",Geography / buildings / landmarks,Marathi
23,5865939284278252840_0,"('Indonesian', 'Indonesia')",Plants and animal,"- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
"
24,5865939224277029460_2,"('Sundanese', 'Indonesia')",Public Figure and pop culture,Indonesian
25,6001318655413963321_0,"('Hindi', 'India')",Traditions / art / history,Japanese
26,5920593854273729336_1,"('Tamil', 'India')",Plants and animal,Hindi
27,5920593834274802146_1,"('Tamil', 'India')",Cooking and food,Japanese
28,5865925464273404045_1,"('Filipino', 'Philippines')",Cooking and food,Japanese
29,5900314529933893395_0,"('Minangkabau', 'Indonesia')",Sports and recreation,The image best represents the Bengali culture.
30,5899637162747929954_0,"('Minangkabau', 'Indonesia')",Cooking and food,- Indonesian
31,5922674405414385929_1,"('Sinhala', 'Sri_Lanka')",Geography / buildings / landmarks,- Indonesian
32,5865939244277608669_2,"('Sundanese', 'Indonesia')",Traditions / art / history,Japanese
33,5865939234271218297_0,"('Javanese', 'Indonesia')",Traditions / art / history,"The image represents a **Baking party** setup, which is a fun and interactive activity often enjoyed at children's parties, where kids can decorate"
34,5865687714273121081_0,"('Bengali', 'India')",Traditions / art / history,Minangkabau
35,5865939214277990781_0,"('Sundanese', 'Indonesia')",Cooking and food,"- Javan
- Tla
- Mexican
- Spanish
- Nalay
- Spanish
- Nalay
- Spanish
"
36,5865743584278291477_1,"('Korean', 'South Korea')",Cooking and food,Japanese
37,5920593584272611294_1,"('Hindi', 'India')",People and everyday life,Hindi
38,5920593724272960606_2,"('Marathi', 'India')",Geography / buildings / landmarks,Tamil
39,6028345774275936078_1,"('Marathi', 'India')",Vehicles and Transportation,The image shows a line of vintage cars parked in a row. The cars are classic and have license plates. The plates are yellow and have numbers.
40,6028345774278132291_0,"('Marathi', 'India')",Vehicles and Transportation,"The image best represents a scene from the movie ""Life of Pi"" by the director ""Hayao"". It showcases traditional life in a rural village"
41,5865941064272007574_0,"('Chinese', 'Singapore')",Traditions / art / history,Chinese
42,5865939264279654596_0,"('Indonesian', 'Indonesia')",Cooking and food,The image best represents Chinese culture.
43,5865752674272028206_2,"('Malay', 'Malaysia')",Objects / materials / clothing,Indonesian
44,5865910684273870573_0,"('Chinese', 'China')",Geography / buildings / landmarks,Mongolian
45,5919991124277882622_0,"('Japanese', 'Japan')",Public Figure and pop culture,Japanese
46,5865941064273672815_1,"('Chinese', 'Singapore')",Cooking and food,Japanese
47,5922904395411843468_0,"('Sinhala', 'Sri_Lanka')",Public Figure and pop culture,Bengali
48,5920942824275081553_0,"('Telugu', 'India')",Public Figure and pop culture,Japanese
49,5865910674271963373_1,"('Chinese', 'China')",Traditions / art / history,Japanese
50,5920593594277937361_0,"('Hindi', 'India')",Brands / products / companies,"The image best represents Asian culture.

Answer: Asian"
51,5865752674277395893_0,"('Malay', 'Malaysia')",Brands / products / companies,"The image best represents ""Javanese."""
52,5865743574276256813_0,"('Korean', 'South Korea')",Objects / materials / clothing,"The image shows a collection of various sizes and shapes of antique bronze or copper containers, possibly pots or pans, arranged in a pattern or design on the"
53,5865752684277108326_1,"('Malay', 'Malaysia')",Public Figure and pop culture,The image best represents a **Malaysian**.
54,5865910684279354664_0,"('Chinese', 'China')",Plants and animal,Japanese
55,5865752664274152335_1,"('Malay', 'Malaysia')",Public Figure and pop culture,The image best represents Asian culture.
56,5920942814278847085_0,"('Telugu', 'India')",Geography / buildings / landmarks,Bengali
57,5925123929413616700_0,"('Japanese', 'Japan')",Plants and animal,"- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
"
58,5922549945419003057_2,"('Sinhala', 'Sri_Lanka')",Vehicles and Transportation,"- Japanese
- Japanese
- Japanese
- Japanese
- Japanese
- Japanese
- Japanese
- Japanese
- Japanese
- Japanese
"
59,5865910674272544738_0,"('Chinese', 'China')",Public Figure and pop culture,Chinese
60,5865743574276740627_0,"('Korean', 'South Korea')",Plants and animal,Japanese
61,5865939274278111903_1,"('Indonesian', 'Indonesia')",Geography / buildings / landmarks,The image shows a large white building with a clock tower and a flag on top of it.
62,5920593724275649384_1,"('Marathi', 'India')",Cooking and food,The image best represents **Japanese** culture.
63,5865752674277273720_0,"('Malay', 'Malaysia')",Brands / products / companies,Japanese
64,5920593584278486651_0,"('Hindi', 'India')",Geography / buildings / landmarks,"- Filipino
- Javan
- Tagalog
- Tagalog
- Tagalog
- Tagalog
- Tagalog
- Tagalog"
65,5865925444278427274_1,"('Filipino', 'Philippines')",People and everyday life,Chinese
66,5922894655416814546_0,"('Sinhala', 'Sri_Lanka')",People and everyday life,"The image best represents ""Rural."""
67,5865743594272336353_0,"('Korean', 'South Korea')",Public Figure and pop culture,Japanese
68,5920942834274236397_0,"('Telugu', 'India')",Cooking and food,"- Hindi
- Japanese
- Hindi
- Japanese
- Sinhala
- Japanese
- Sinhala
- Japanese
- S"
69,5920942824275595448_0,"('Telugu', 'India')",Traditions / art / history,"The image best represents ""Filipino""."
70,5919991134277879087_2,"('Japanese', 'Japan')",Sports and recreation,The image best represents the Filipino culture.
71,5865743574274692594_2,"('Korean', 'South Korea')",People and everyday life,"- Spanish
- Nihal
- Spanish
- Nihal
- Spanish
- Nihal
- Spanish
- Nih"
72,5865939244277687334_1,"('Indonesian', 'Indonesia')",Objects / materials / clothing,The image represents a **Filipino**.
73,5920593834271404586_1,"('Tamil', 'India')",Vehicles and Transportation,"abau
.
- Sinh
.
-abau
.
- Sinh
.
-abau
.
- Sinh
.
-"
74,5920593834271666248_1,"('Tamil', 'India')",Geography / buildings / landmarks,Bengali
75,5920593844273553189_0,"('Tamil', 'India')",Geography / buildings / landmarks,- 1111.111.111.111.111.111.111
76,5865941054279039833_0,"('Chinese', 'Singapore')",Vehicles and Transportation,Chinese
77,5865784474279317888_2,"('Mongolian', 'Mongolia')",Public Figure and pop culture,"It seems like you're answering
- question
- Quotdiem
- Quoddiem
- Quoddiem
- Qu"
78,5865925444272688564_2,"('Filipino', 'Philippines')",Vehicles and Transportation,Japanese
79,5920593844271819813_1,"('Tamil', 'India')",People and everyday life,"The image depicts a group of people engaged in a cultural or traditional gathering, possibly related to a specific cultural event or ceremony. The individuals are dressed in"
80,5865939244279272137_1,"('Javanese', 'Indonesia')",Cooking and food,Tamil
81,5920942834273632503_1,"('Telugu', 'India')",Traditions / art / history,The image best represents the Chinese culture.
82,5865784464276584661_1,"('Mongolian', 'Mongolia')",Vehicles and Transportation,The image best represents a motorcycle parked in a field with mountains in the background.
83,5920593724273800208_1,"('Marathi', 'India')",Traditions / art / history,"The image shows a person holding a silver pot filled with yellow rice, The pot is decorated with green leaves and gold bangles. The person is wearing"
84,5865939244275395614_1,"('Indonesian', 'Indonesia')",Traditions / art / history,"The image features a traditional weapon known as a ""sword,"" which is a type of spear or polearm used in various cultures and countries. The"
85,5865939224277259135_1,"('Javanese', 'Indonesia')",Public Figure and pop culture,The image you're asking for is a question.
86,5865752664276269296_1,"('Malay', 'Malaysia')",Sports and recreation,Japanese
87,5865940254277052886_1,"('Urdu', 'Pakistan')",People and everyday life,The image shows a building decorated with colorful lights and a sky.
88,5865743584278842085_0,"('Korean', 'South Korea')",People and everyday life,Filipino
89,5865939274274934803_2,"('Indonesian', 'Indonesia')",Cooking and food,The image best represents **Tamil** culture.
90,5920593844274177246_0,"('Tamil', 'India')",Public Figure and pop culture,Hindi
91,5865784474272091109_1,"('Mongolian', 'Mongolia')",Brands / products / companies,"The image you've chosen represents the Lunar New Year Collection from the Goyo store, featuring a whimsical display with various blue and green"
92,5920593854272681445_0,"('Tamil', 'India')",Geography / buildings / landmarks,Tamil
93,5865687724275831848_1,"('Bengali', 'India')",Cooking and food,"The image best represents an **Asian** culture. This could be from the options below:

- Bengali
- Javanese
- Tamil
"
94,5919991144274506619_0,"('Japanese', 'Japan')",Vehicles and Transportation,Japanese
95,5865939244274237693_1,"('Indonesian', 'Indonesia')",Geography / buildings / landmarks,"The image you've chosen represents a diverse and inclusive selection from various options, highlighting the unique qualities of each individual language."
96,5865941044276811343_0,"('Chinese', 'Singapore')",Objects / materials / clothing,The image shows a shopping cart with a promotional poster for the United States Convention Center's Arrival Garden. The poster is displayed prominently in the shopping cart
97,5865687724271272925_2,"('Bengali', 'India')",Cooking and food,"The image features a variety of vegetables arranged in a visually appealing manner. The vegetables include:

- Eggplant
- Jicama
- Tomato"
98,5920942824271945593_0,"('Telugu', 'India')",Cooking and food,The image represents a bowl of **Bengali**.
99,5865939264271854663_0,"('Javanese', 'Indonesia')",Traditions / art / history,"The image shows a table with a unique, long, wooden top. The table is surrounded by a red velvet rope barrier, and there are several chairs"
100,5920593844279862146_0,"('Tamil', 'India')",Geography / buildings / landmarks,"- 1
-- 2
-- 3
-- 4
-- 5
-- 6
-"
101,5920942834276029740_0,"('Telugu', 'India')",Geography / buildings / landmarks,Tamil
102,5920593844275778595_0,"('Tamil', 'India')",Vehicles and Transportation,- 1967
103,5865910664279746519_0,"('Chinese', 'China')",Public Figure and pop culture,"- Javanese
- Filipino
- Minangkabau
- Sundanese
- Korean
- Marathi
- Telugu
-"
104,5865752674271615630_0,"('Malay', 'Malaysia')",Plants and animal,Japanese
105,5865743594271153106_1,"('Korean', 'South Korea')",Vehicles and Transportation,Japanese
106,5865939284277751226_1,"('Indonesian', 'Indonesia')",Plants and animal,Japanese
107,5865687714271982732_1,"('Bengali', 'India')",Vehicles and Transportation,"The image best represents a scene from the movie ""Life of Pi"" by the director ""Hayao"". It showcases traditional life in a rural village"
108,5865687714274224848_0,"('Bengali', 'India')",Cooking and food,"The image represents a traditional Bengali meal, which includes items such as dal (lentils), aloo (curry), and other dishes commonly enjoyed"
109,5865784464277851146_1,"('Mongolian', 'Mongolia')",Cooking and food,"The image best represents the Chinese culture. The dish in the image appears to be a traditional Chinese dessert soup or pudding, which is often associated with"
110,5865743584276337732_1,"('Korean', 'South Korea')",Cooking and food,"The image best represents ""Chinese"" as it is one of the options listed."
111,5865939224275349976_0,"('Javanese', 'Indonesia')",Cooking and food,Filipino
112,5900082159938394738_2,"('Minangkabau', 'Indonesia')",Geography / buildings / landmarks,The image best represents the **Japanese** culture.
113,5922553175414790798_0,"('Sinhala', 'Sri_Lanka')",Vehicles and Transportation,"The image best represents ""Amish."""
114,5865784474276158734_0,"('Mongolian', 'Mongolia')",Objects / materials / clothing,Japanese
115,5865910664271108275_0,"('Chinese', 'China')",Geography / buildings / landmarks,Chinese
116,5865687724278240508_0,"('Bengali', 'India')",Traditions / art / history,The image best represents the Filipino culture.
117,5865687724276552869_1,"('Bengali', 'India')",Vehicles and Transportation,The image features a traditional **rickshaw** with a blue canopy and a **bicycle** with a brown seat. The **rickshaw** is
118,5865939224278483653_2,"('Javanese', 'Indonesia')",Sports and recreation,Japanese
119,5919326634274198329_2,"('Minangkabau', 'Indonesia')",Cooking and food,Filipino
120,5919326634279127349_1,"('Minangkabau', 'Indonesia')",Objects / materials / clothing,"This image shows a group of people standing in a room, with a table full of food, and a large window."
121,6028345784271667782_2,"('Marathi', 'India')",Cooking and food,Chinese
122,5865939214277129329_0,"('Sundanese', 'Indonesia')",Cooking and food,"The image shows a bowl of **adobo** rice topped with a dark, savory sauce and garnished with pieces of meat and vegetables. This"
123,5900294609934166314_2,"('Minangkabau', 'Indonesia')",People and everyday life,"The image depicts a scene from the children's story ""Goldilocks and the Three Bears."" This story features three bear characters—Goldilocks,"
124,5865743584274309392_0,"('Korean', 'South Korea')",People and everyday life,"The image shows a modern, well-lit is a subway station. The station features multiple turnstiles with signs in various languages, including English,"
125,5865784454271043721_0,"('Mongolian', 'Mongolia')",People and everyday life,"The image features a person dressed in traditional attire, including a hat and a bird perched on their arm. The person is also wearing a mask that"
126,5920593834276479217_1,"('Tamil', 'India')",Geography / buildings / landmarks,Hindi
127,5919991124277921869_2,"('Japanese', 'Japan')",Public Figure and pop culture,Japanese
128,5920593724278283520_1,"('Marathi', 'India')",Public Figure and pop culture,"The image best represents ""Bengali""."
129,5899603072746651238_0,"('Minangkabau', 'Indonesia')",Objects / materials / clothing,Japanese
130,5865752664276939150_0,"('Malay', 'Malaysia')",Brands / products / companies,Japanese
131,5922654485412931774_0,"('Sinhala', 'Sri_Lanka')",Cooking and food,Bengali
132,5865939274273196588_2,"('Indonesian', 'Indonesia')",Public Figure and pop culture,The image you're asking for is a question.
133,5865743594277332487_1,"('Korean', 'South Korea')",Sports and recreation,Japanese
134,5948825416362655826_0,"('Japanese', 'Japan')",Plants and animal,Japanese
135,5865784464276916869_0,"('Mongolian', 'Mongolia')",Traditions / art / history,Chinese
136,5865925464274088089_0,"('Filipino', 'Philippines')",Cooking and food,"The image shows a plate with various food items on it. The food items are arranged in a pattern that resembles the letter ""P""."
