Unnamed: 0,ID,Culture,Category,output,pred,cleaned_output
0,5865940244277525097_0,Urdu,Objects / materials / clothing,The image best represents the Bengali culture.,0,bengali
1,5865939274273557337_0,Indonesian,People and everyday life,"The image depicts a group of students in uniform attire, likely representing a school or educational institution with a specific dress code or policy.",0,unanswered
2,5865925464274557101_0,Filipino,Brands / products / companies," a meatball past sw brown paper chicken sandwiches. coated with decorated with coated with with, with a in cre everything corn dog. waff.",0,unanswered
3,5865925454276387983_1,Filipino,Public Figure and pop culture,The image best represents the Filipino culture.,1,filipino
4,5900080789939789276_2,Minangkabau,Geography / buildings / landmarks,The image best represents the Bandar Udara Airport.,0,unanswered
5,5865752684276131937_1,Malay,Traditions / art / history,"- Marathi
- Sinh
- Marathi
- Sinh
- Marathi
- Sinh
- Marathi
- S",0,marathi
6,5865687724279174757_0,Bengali,Traditions / art / history,"- Javanese
- Javanese
- Javanese
- Javanese
- Javanese
- Javanese
",0,javanese
7,5865939214275572120_2,Sundanese,Geography / buildings / landmarks,The image best represents **Indonesian**.,0,indonesian
8,5865925454274852627_2,Filipino,Traditions / art / history,The image best represents **Asian** culture.,0,unanswered
9,5920942834275752109_1,Telugu,Geography / buildings / landmarks,"The image depicts
- S.
- S.
- S.
- S.
- S.
- S.
- S.
- S.
- S",0,unanswered
10,5865910684277574728_1,Chinese,Traditions / art / history,Chinese,1,chinese
11,5865910694274547465_0,Chinese,Cooking and food,Bengali,0,bengali
12,5920593834277229335_1,Tamil,Vehicles and Transportation,The image best represents the culture of an **Bengali**.,0,bengali
13,5865743574276100449_0,Korean,Objects / materials / clothing,Japanese,0,japanese
14,5920943054279341125_0,Urdu,Traditions / art / history,"The image best represents ""Bengali.""",0,bengali
15,5865939274276677956_1,Indonesian,Traditions / art / history,"The image best represents ""Filipino"".",0,filipino
16,5865939214276959702_0,Sundanese,Vehicles and Transportation,Japanese,0,japanese
17,5865910674271780257_0,Chinese,Traditions / art / history,The image best represents Chinese culture.,1,chinese
18,5865939264275894772_2,Indonesian,Plants and animal,Japanese,0,japanese
19,5865687724277949693_1,Bengali,Cooking and food,Japanese,0,japanese
